University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Briar Cliff University,Sioux City,IA,73.0%,11.0%,7.0%,2.0%,1.0%,,4.0%,1.0%,
Buena Vista University,Storm Lake,IA,75.0%,7.0%,3.0%,4.0%,2.0%,4.0%,5.0%,,
Southeastern Community College,West Burlington,IA,77.0%,5.0%,5.0%,4.0%,1.0%,6.0%,,,
Bossier Parish Community College,Bossier City,LA,48.0%,4.0%,40.0%,3.0%,,3.0%,,1.0%,
Cameron University,Lawton,OK,50.0%,13.0%,13.0%,9.0%,2.0%,3.0%,4.0%,5.0%,
Carleton College,Northfield,MN,62.0%,7.0%,4.0%,6.0%,9.0%,2.0%,10.0%,,
Centenary College of Louisiana,Shreveport,LA,65.0%,7.0%,16.0%,6.0%,3.0%,,1.0%,1.0%,
Anoka Technical College,Anoka,MN,79.0%,4.0%,7.0%,3.0%,3.0%,2.0%,,,
Oklahoma Christian University,Oklahoma City,OK,72.0%,6.0%,5.0%,7.0%,1.0%,,7.0%,2.0%,
Central College,Pella,IA,88.0%,4.0%,3.0%,1.0%,1.0%,2.0%,,,
Central Christian College of Kansas,McPherson,KS,55.0%,13.0%,23.0%,2.0%,1.0%,4.0%,,3.0%,
Central Methodist University,Fayette,MO,77.0%,3.0%,8.0%,3.0%,,3.0%,6.0%,,
University of Central Missouri,Warrensburg,MO,77.0%,4.0%,11.0%,4.0%,,1.0%,2.0%,,
University of Central Oklahoma,Edmond,OK,58.0%,9.0%,9.0%,9.0%,3.0%,1.0%,7.0%,4.0%,
Pfeiffer University,Misenheimer,NC,52.0%,3.0%,21.0%,2.0%,,15.0%,6.0%,,
Piedmont College,Demorest,GA,69.0%,7.0%,9.0%,3.0%,2.0%,10.0%,,,
Potomac State College of West Virginia University,Keyser,WV,69.0%,3.0%,21.0%,4.0%,,1.0%,,,
Presbyterian College,Clinton,SC,76.0%,3.0%,13.0%,3.0%,,,3.0%,,
Prince George's Community College,Largo,MD,5.0%,9.0%,74.0%,2.0%,3.0%,4.0%,2.0%,,
Polk State College,Winter Haven,FL,52.0%,21.0%,17.0%,3.0%,2.0%,3.0%,1.0%,,
Piedmont Technical College,Greenwood,SC,62.0%,,33.0%,3.0%,,,,,
Palm Beach Atlantic University,West Palm Beach,FL,62.0%,16.0%,12.0%,3.0%,2.0%,2.0%,4.0%,,
Piedmont International University,Winston-Salem,NC,76.0%,2.0%,15.0%,2.0%,,4.0%,,,
Paul D. Camp Community College,Franklin,VA,56.0%,3.0%,35.0%,3.0%,,,,,
Duke University,Durham,NC,46.0%,8.0%,10.0%,2.0%,22.0%,2.0%,10.0%,,
Emmanuel College,Franklin Springs,GA,68.0%,7.0%,14.0%,3.0%,,,6.0%,,
Emory & Henry College,Emory,VA,76.0%,5.0%,9.0%,2.0%,1.0%,6.0%,,,
Oxford College of Emory University,Oxford,GA,33.0%,7.0%,8.0%,4.0%,27.0%,3.0%,16.0%,,
Emory University,Atlanta,GA,42.0%,9.0%,9.0%,4.0%,18.0%,2.0%,16.0%,,
Cambria-Rowe Business College: Indiana,Indiana,PA,93.0%,,2.0%,4.0%,,,,,
Woodbury Institute of Champlain College,Montpelier,VT,96.0%,1.0%,,,3.0%,,,,
Erskine College,Due West,SC,,,76.0%,,,23.0%,,1.0%,
Embry-Riddle Aeronautical University,Daytona Beach,FL,54.0%,4.0%,6.0%,9.0%,5.0%,8.0%,13.0%,,
Florida SouthWestern State College,Fort Myers,FL,48.0%,29.0%,10.0%,2.0%,2.0%,6.0%,2.0%,,
Edgecombe Community College,Tarboro,NC,31.0%,3.0%,62.0%,1.0%,,3.0%,,,
East Georgia State College,Swainsboro,GA,45.0%,2.0%,43.0%,6.0%,,3.0%,,,
Drake University,Des Moines,IA,79.0%,4.0%,4.0%,2.0%,3.0%,,7.0%,,
Drury University,Springfield,MO,78.0%,3.0%,3.0%,3.0%,1.0%,,10.0%,,
Dordt College,Sioux Center,IA,79.0%,2.0%,1.0%,,1.0%,8.0%,9.0%,,
University of South Carolina: Beaufort,Bluffton,SC,58.0%,7.0%,22.0%,4.0%,1.0%,7.0%,1.0%,,
Kaplan University: Davenport,Davenport,IA,49.0%,10.0%,29.0%,2.0%,1.0%,6.0%,,1.0%,
University of South Carolina: Upstate,Spartanburg,SC,55.0%,5.0%,27.0%,3.0%,2.0%,4.0%,3.0%,,
Valdosta State University,Valdosta,GA,49.0%,6.0%,37.0%,4.0%,1.0%,,3.0%,,
Stevenson University,Stevenson,MD,56.0%,5.0%,27.0%,5.0%,3.0%,3.0%,,,
Virginia Intermont College,Bristol,VA,77.0%,3.0%,10.0%,,,4.0%,3.0%,1.0%,
Virginia Military Institute,Lexington,VA,80.0%,5.0%,6.0%,2.0%,4.0%,,2.0%,,
Guilford Technical Community College,Jamestown,NC,42.0%,8.0%,39.0%,2.0%,4.0%,2.0%,2.0%,,
Arkansas State University,State University,AR,74.0%,2.0%,14.0%,2.0%,,,6.0%,,
University of Central Arkansas,Conway,AR,66.0%,5.0%,17.0%,4.0%,2.0%,,5.0%,,
Bethany College,Lindsborg,KS,53.0%,16.0%,18.0%,3.0%,1.0%,,8.0%,,
Bethany Lutheran College,Mankato,MN,84.0%,3.0%,3.0%,2.0%,,1.0%,6.0%,,
Queens University of Charlotte,Charlotte,NC,57.0%,9.0%,16.0%,2.0%,2.0%,6.0%,7.0%,,
Piedmont Virginia Community College,Charlottesville,VA,71.0%,6.0%,12.0%,4.0%,4.0%,2.0%,,,
Pasco-Hernando State College,New Port Richey,FL,68.0%,19.0%,5.0%,3.0%,3.0%,2.0%,,,
Randolph-Macon College,Ashland,VA,78.0%,5.0%,8.0%,4.0%,2.0%,,2.0%,,
Randolph College,Lynchburg,VA,69.0%,6.0%,13.0%,4.0%,2.0%,,6.0%,,
Reinhardt University,Waleska,GA,59.0%,5.0%,16.0%,,,18.0%,,,
University of Richmond,University of Richmond,VA,59.0%,8.0%,6.0%,4.0%,8.0%,6.0%,9.0%,,
Virginia Commonwealth University,Richmond,VA,48.0%,9.0%,19.0%,6.0%,13.0%,3.0%,3.0%,,
Roanoke College,Salem,VA,82.0%,4.0%,6.0%,4.0%,1.0%,,3.0%,,
Rollins College,Winter Park,FL,64.0%,14.0%,3.0%,3.0%,3.0%,3.0%,10.0%,,
Denmark Technical College,Denmark,SC,13.0%,,85.0%,,,1.0%,,,
University of Maryland: Baltimore,Baltimore,MD,54.0%,6.0%,18.0%,4.0%,15.0%,1.0%,2.0%,,
Alamance Community College,Graham,NC,63.0%,10.0%,21.0%,2.0%,2.0%,,,,
Tallahassee Community College,Tallahassee,FL,47.0%,13.0%,31.0%,4.0%,1.0%,2.0%,2.0%,,
University of Tampa,Tampa,FL,60.0%,12.0%,5.0%,3.0%,2.0%,7.0%,11.0%,,
Morehouse College,Atlanta,GA,,,95.0%,,,2.0%,2.0%,,
Morgan State University,Baltimore,MD,2.0%,3.0%,77.0%,3.0%,,2.0%,11.0%,,
Morris College,Sumter,SC,,,98.0%,,,,,,
University of Charleston,Charleston,WV,58.0%,2.0%,9.0%,,,22.0%,7.0%,,
Mount St. Mary's University,Emmitsburg,MD,68.0%,10.0%,13.0%,4.0%,3.0%,1.0%,,,
Montreat College,Montreat,NC,64.0%,3.0%,16.0%,3.0%,2.0%,7.0%,5.0%,1.0%,
Methodist University,Fayetteville,NC,51.0%,8.0%,20.0%,4.0%,1.0%,9.0%,6.0%,,
"State College of Florida, Manatee-Sarasota",Bradenton,FL,66.0%,18.0%,10.0%,3.0%,2.0%,,,,
Lynn University,Boca Raton,FL,45.0%,16.0%,9.0%,1.0%,1.0%,5.0%,21.0%,,
North Carolina Central University,Durham,NC,7.0%,4.0%,80.0%,5.0%,,2.0%,2.0%,,
North Carolina State University,Raleigh,NC,72.0%,5.0%,6.0%,4.0%,6.0%,2.0%,4.0%,,
University of North Georgia,Dahlonega,GA,77.0%,11.0%,4.0%,3.0%,3.0%,1.0%,2.0%,,
North Greenville University,Tigerville,SC,79.0%,3.0%,8.0%,2.0%,,6.0%,,,
North Carolina Wesleyan College,Rocky Mount,NC,32.0%,2.0%,44.0%,2.0%,,13.0%,4.0%,1.0%,
New College of Florida,Sarasota,FL,69.0%,16.0%,3.0%,4.0%,3.0%,3.0%,2.0%,,
University of North Carolina School of the Arts,Winston-Salem,NC,73.0%,7.0%,9.0%,4.0%,2.0%,2.0%,2.0%,,
Nova Southeastern University,Fort Lauderdale,FL,33.0%,30.0%,16.0%,2.0%,10.0%,3.0%,6.0%,,
Florida State University,Tallahassee,FL,63.0%,20.0%,8.0%,3.0%,2.0%,1.0%,1.0%,,
Florida Gulf Coast University,Fort Myers,FL,65.0%,20.0%,7.0%,3.0%,2.0%,1.0%,2.0%,,
Furman University,Greenville,SC,78.0%,5.0%,5.0%,3.0%,2.0%,3.0%,5.0%,,
Eckerd College,St. Petersburg,FL,78.0%,8.0%,3.0%,3.0%,2.0%,,5.0%,,
Florida Atlantic University,Boca Raton,FL,42.0%,27.0%,20.0%,4.0%,4.0%,,3.0%,,
Frederick Community College,Frederick,MD,63.0%,12.0%,15.0%,5.0%,4.0%,,,,
Florida State College at Jacksonville,Jacksonville,FL,49.0%,8.0%,25.0%,3.0%,4.0%,10.0%,,,
University of Central Florida,Orlando,FL,51.0%,25.0%,11.0%,4.0%,6.0%,,1.0%,,
Forsyth Technical Community College,Winston-Salem,NC,57.0%,10.0%,24.0%,3.0%,2.0%,2.0%,1.0%,,
Flagler College,Saint Augustine,FL,78.0%,5.0%,4.0%,2.0%,1.0%,6.0%,3.0%,,
Georgia Highlands College,Rome,GA,65.0%,13.0%,17.0%,3.0%,1.0%,,,,
Antioch University Los Angeles,Culver City,CA,55.0%,16.0%,14.0%,4.0%,3.0%,7.0%,,,
Mitchell Technical Institute,Mitchell,SD,90.0%,2.0%,,2.0%,1.0%,1.0%,,3.0%,
Boston Architectural College,Boston,MA,39.0%,13.0%,7.0%,4.0%,8.0%,9.0%,20.0%,,
Lubbock Christian University,Lubbock,TX,69.0%,22.0%,5.0%,,,,2.0%,1.0%,
University of New Orleans,New Orleans,LA,53.0%,12.0%,16.0%,4.0%,8.0%,1.0%,4.0%,,
Louisiana State University at Alexandria,Alexandria,LA,65.0%,3.0%,18.0%,3.0%,1.0%,,4.0%,5.0%,
Louisiana State University Health Sciences Center,New Orleans,LA,74.0%,6.0%,10.0%,1.0%,7.0%,1.0%,,,
Spartanburg Methodist College,Spartanburg,SC,57.0%,7.0%,33.0%,2.0%,,,,,
Spelman College,Atlanta,GA,,,96.0%,2.0%,,,1.0%,,
Elizabeth City State University,Elizabeth City,NC,14.0%,,75.0%,,,9.0%,,,
George Mason University,Fairfax,VA,43.0%,14.0%,11.0%,5.0%,19.0%,3.0%,5.0%,,
University of South Florida,Tampa,FL,50.0%,21.0%,10.0%,4.0%,7.0%,2.0%,6.0%,,
Kennesaw State University,Kennesaw,GA,57.0%,9.0%,21.0%,4.0%,5.0%,2.0%,2.0%,,
LaGrange College,LaGrange,GA,71.0%,1.0%,23.0%,2.0%,1.0%,,,,
Lander University,Greenwood,SC,59.0%,1.0%,32.0%,2.0%,2.0%,3.0%,1.0%,,
Lees-McRae College,Banner Elk,NC,72.0%,4.0%,6.0%,1.0%,1.0%,12.0%,2.0%,,
Lenoir-Rhyne University,Hickory,NC,68.0%,7.0%,13.0%,4.0%,2.0%,4.0%,2.0%,,
Limestone College,Gaffney,SC,50.0%,5.0%,32.0%,4.0%,,,8.0%,,
Livingstone College,Salisbury,NC,,,88.0%,,,10.0%,,,
Marshall University,Huntington,WV,84.0%,2.0%,7.0%,3.0%,,1.0%,1.0%,,
Mary Baldwin University,Staunton,VA,57.0%,7.0%,25.0%,4.0%,3.0%,4.0%,,,
University of Mary Washington,Fredericksburg,VA,70.0%,8.0%,7.0%,5.0%,4.0%,4.0%,,,
Maryland Institute College of Art,Baltimore,MD,45.0%,4.0%,6.0%,11.0%,13.0%,4.0%,18.0%,,
University of Maryland: Eastern Shore,Princess Anne,MD,10.0%,3.0%,76.0%,7.0%,1.0%,,3.0%,,
Bowie State University,Bowie,MD,2.0%,3.0%,86.0%,4.0%,1.0%,2.0%,1.0%,,
Frostburg State University,Frostburg,MD,55.0%,5.0%,31.0%,4.0%,2.0%,,1.0%,,
Towson University,Towson,MD,59.0%,7.0%,19.0%,5.0%,6.0%,2.0%,2.0%,,
Marymount University,Arlington,VA,38.0%,18.0%,15.0%,3.0%,7.0%,3.0%,14.0%,,
Augusta University,Augusta,GA,55.0%,6.0%,25.0%,4.0%,2.0%,7.0%,1.0%,,
Medical University of South Carolina,Charleston,SC,72.0%,2.0%,7.0%,2.0%,3.0%,12.0%,,,
Mercer University,Macon,GA,58.0%,5.0%,19.0%,4.0%,8.0%,3.0%,3.0%,,
Meredith College,Raleigh,NC,73.0%,,8.0%,4.0%,3.0%,5.0%,5.0%,,
Fashion Institute of Design and Merchandising: San Francisco,San Francisco,CA,37.0%,22.0%,4.0%,5.0%,19.0%,5.0%,5.0%,,3.0%
Lincoln University,Oakland,CA,11.0%,4.0%,4.0%,6.0%,17.0%,,55.0%,,3.0%
Oregon Institute of Technology,Klamath Falls,OR,76.0%,6.0%,,4.0%,4.0%,3.0%,3.0%,,
California State University: Fullerton,Fullerton,CA,20.0%,42.0%,2.0%,4.0%,21.0%,4.0%,6.0%,,
Babson College,Babson Park,MA,38.0%,10.0%,5.0%,2.0%,12.0%,5.0%,27.0%,,
Bates College,Lewiston,ME,70.0%,9.0%,6.0%,4.0%,4.0%,,7.0%,,
Bay Path University,Longmeadow,MA,57.0%,19.0%,13.0%,3.0%,2.0%,5.0%,,,
Becker College,Worcester,MA,70.0%,9.0%,7.0%,3.0%,2.0%,7.0%,1.0%,,
Bennington College,Bennington,VT,60.0%,9.0%,3.0%,5.0%,2.0%,5.0%,15.0%,,
Boston College,Chestnut Hill,MA,63.0%,10.0%,4.0%,3.0%,10.0%,4.0%,7.0%,,
Pacific Northwest College of Art,Portland,OR,63.0%,5.0%,2.0%,11.0%,4.0%,12.0%,2.0%,1.0%,
Metropolitan State University of Denver,Denver,CO,58.0%,22.0%,6.0%,4.0%,4.0%,4.0%,,,
Mt. Hood Community College,Gresham,OR,66.0%,10.0%,6.0%,3.0%,6.0%,6.0%,,1.0%,
Moorpark College,Moorpark,CA,52.0%,31.0%,2.0%,5.0%,9.0%,,,,
Mesa Community College,Mesa,AZ,49.0%,24.0%,6.0%,2.0%,4.0%,8.0%,3.0%,4.0%,
Marymount California University,Rancho Palos Verdes,CA,20.0%,39.0%,8.0%,2.0%,5.0%,7.0%,18.0%,,
Morgan Community College,Fort Morgan,CO,64.0%,18.0%,1.0%,3.0%,,7.0%,6.0%,,
Mendocino College,Ukiah,CA,63.0%,24.0%,4.0%,,3.0%,,,5.0%,
Art Institute of Cincinnati,Cincinnati,OH,77.0%,2.0%,19.0%,,,2.0%,,,
Glendale Community College,Glendale,AZ,51.0%,28.0%,7.0%,2.0%,4.0%,5.0%,,2.0%,
Harrisburg Area Community College,Harrisburg,PA,68.0%,10.0%,11.0%,3.0%,3.0%,2.0%,2.0%,,
City University of New York: Lehman College,Bronx,NY,8.0%,50.0%,32.0%,,7.0%,,3.0%,,
Siena Heights University,Adrian,MI,68.0%,4.0%,12.0%,2.0%,1.0%,8.0%,3.0%,,
Sinclair Community College,Dayton,OH,62.0%,4.0%,14.0%,3.0%,2.0%,13.0%,2.0%,,
Oakland Community College,Bloomfield Hills,MI,55.0%,3.0%,30.0%,2.0%,2.0%,3.0%,4.0%,,
Southeastern Bible College,Birmingham,AL,62.0%,,35.0%,,,1.0%,,,
Southern Illinois University Carbondale,Carbondale,IL,65.0%,9.0%,17.0%,3.0%,2.0%,,4.0%,,
Oxnard College,Oxnard,CA,17.0%,70.0%,3.0%,3.0%,5.0%,,,,
Pomona College,Claremont,CA,38.0%,15.0%,8.0%,7.0%,14.0%,5.0%,11.0%,,
Portland State University,Portland,OR,57.0%,13.0%,4.0%,6.0%,9.0%,4.0%,5.0%,1.0%,
Vassar College,Poughkeepsie,NY,58.0%,11.0%,4.0%,6.0%,12.0%,,8.0%,,
Villanova University,Villanova,PA,75.0%,7.0%,5.0%,2.0%,7.0%,2.0%,2.0%,,
Villa Maria College of Buffalo,Buffalo,NY,53.0%,7.0%,32.0%,6.0%,1.0%,,,,
Helene Fuld College of Nursing,New York,NY,5.0%,9.0%,77.0%,,8.0%,,,,
Wagner College,Staten Island,NY,66.0%,11.0%,8.0%,3.0%,3.0%,5.0%,4.0%,,
Washington & Jefferson College,Washington,PA,78.0%,3.0%,5.0%,4.0%,2.0%,5.0%,4.0%,,
Westmoreland County Community College,Youngwood,PA,91.0%,2.0%,4.0%,3.0%,,,,,
Waynesburg University,Waynesburg,PA,91.0%,2.0%,4.0%,3.0%,,,,,
Webb Institute,Glen Cove,NY,77.0%,,,9.0%,12.0%,2.0%,,,
Wells College,Aurora,NY,59.0%,12.0%,12.0%,3.0%,,9.0%,3.0%,,
Westchester Community College,Valhalla,NY,32.0%,34.0%,22.0%,2.0%,4.0%,5.0%,,,
Anna Maria College,Paxton,MA,65.0%,10.0%,13.0%,,1.0%,9.0%,,,
University of Maine at Presque Isle,Presque Isle,ME,79.0%,2.0%,3.0%,4.0%,,2.0%,7.0%,3.0%,
Assumption College,Worcester,MA,75.0%,7.0%,6.0%,2.0%,2.0%,5.0%,2.0%,,
Atlantic Union College,South Lancaster,MA,20.0%,16.0%,56.0%,,6.0%,2.0%,,,
Greenville Technical College,Greenville,SC,61.0%,9.0%,22.0%,3.0%,2.0%,3.0%,,,
Garrett College,McHenry,MD,62.0%,2.0%,31.0%,3.0%,,,2.0%,,
Hagerstown Community College,Hagerstown,MD,76.0%,5.0%,10.0%,4.0%,2.0%,2.0%,,,
Hampden-Sydney College,Hampden-Sydney,VA,84.0%,4.0%,5.0%,4.0%,,2.0%,,,
Hampton University,Hampton,VA,2.0%,1.0%,96.0%,,,,,,
High Point University,High Point,NC,78.0%,5.0%,5.0%,6.0%,2.0%,1.0%,2.0%,,
Hollins University,Roanoke,VA,65.0%,6.0%,12.0%,5.0%,2.0%,4.0%,5.0%,1.0%,
Hood College,Frederick,MD,61.0%,10.0%,14.0%,5.0%,3.0%,5.0%,2.0%,,
Howard University,Washington,DC,2.0%,,91.0%,,1.0%,,5.0%,,
Brunswick Community College,Bolivia,NC,75.0%,3.0%,13.0%,4.0%,2.0%,2.0%,,1.0%,
Harford Community College,Bel Air,MD,70.0%,5.0%,16.0%,4.0%,3.0%,,1.0%,,
Lehigh Valley College,Center Valley,PA,69.0%,17.0%,13.0%,,1.0%,,,,
Pennsylvania Highlands Community College,Johnstown,PA,81.0%,2.0%,5.0%,3.0%,1.0%,7.0%,,,
Seattle Pacific University,Seattle,WA,61.0%,10.0%,4.0%,8.0%,11.0%,1.0%,4.0%,,
Howard Community College,Columbia,MD,35.0%,11.0%,29.0%,5.0%,12.0%,3.0%,5.0%,,
Indian River State College,Fort Pierce,FL,57.0%,17.0%,18.0%,2.0%,1.0%,3.0%,1.0%,,
Jacksonville University,Jacksonville,FL,47.0%,9.0%,15.0%,,3.0%,18.0%,6.0%,1.0%,
Johns Hopkins University,Baltimore,MD,40.0%,13.0%,6.0%,5.0%,23.0%,3.0%,10.0%,,
Johnson C. Smith University,Charlotte,NC,,4.0%,84.0%,2.0%,,6.0%,2.0%,,
Saint Joseph's College,Rensselaer,IN,76.0%,6.0%,10.0%,4.0%,,,3.0%,,
Saint Mary's College,Notre Dame,IN,77.0%,11.0%,2.0%,3.0%,2.0%,3.0%,2.0%,,
St. Mary-of-the-Woods College,Saint Mary of the Woods,IN,75.0%,2.0%,5.0%,1.0%,,15.0%,1.0%,,
Savannah State University,Savannah,GA,4.0%,8.0%,83.0%,3.0%,,,1.0%,,
Shaw University,Raleigh,NC,1.0%,,66.0%,2.0%,,28.0%,2.0%,,
Shenandoah University,Winchester,VA,57.0%,7.0%,12.0%,3.0%,3.0%,15.0%,4.0%,,
Shepherd University,Shepherdstown,WV,81.0%,4.0%,9.0%,2.0%,2.0%,1.0%,,,
South Carolina State University,Orangeburg,SC,2.0%,,96.0%,,,,,,
South Georgia State College,Douglas,GA,59.0%,6.0%,31.0%,1.0%,,,,,
Southeastern University,Lakeland,FL,62.0%,17.0%,14.0%,,1.0%,2.0%,2.0%,,
Southern Polytechnic State University,Marietta,GA,56.0%,8.0%,22.0%,3.0%,6.0%,1.0%,4.0%,,
Rock Valley College,Rockford,IL,70.0%,14.0%,10.0%,2.0%,2.0%,1.0%,,,
Stark State College,North Canton,OH,72.0%,1.0%,14.0%,3.0%,2.0%,7.0%,,,
University of Saint Francis,Fort Wayne,IN,80.0%,8.0%,7.0%,2.0%,1.0%,,,,
California State University: East Bay,Hayward,CA,16.0%,33.0%,11.0%,6.0%,24.0%,4.0%,6.0%,,
New Mexico State University at Alamogordo,Alamogordo,NM,41.0%,43.0%,4.0%,2.0%,2.0%,3.0%,2.0%,3.0%,
Arizona Western College,Yuma,AZ,15.0%,72.0%,2.0%,2.0%,,4.0%,2.0%,1.0%,
Arapahoe Community College,Littleton,CO,67.0%,15.0%,3.0%,4.0%,4.0%,6.0%,1.0%,,
Bakersfield College,Bakersfield,CA,21.0%,66.0%,4.0%,3.0%,4.0%,1.0%,,,
Biola University,La Mirada,CA,48.0%,20.0%,2.0%,6.0%,17.0%,3.0%,3.0%,,
Boise State University,Boise,ID,74.0%,12.0%,2.0%,4.0%,2.0%,1.0%,4.0%,,
Brigham Young University,Provo,UT,2.0%,6.0%,,4.0%,,1.0%,3.0%,,83.0%
Bethany University,Scotts Valley,CA,59.0%,18.0%,9.0%,,4.0%,7.0%,1.0%,,
Westfield State University,Westfield,MA,76.0%,9.0%,5.0%,5.0%,2.0%,3.0%,,,
Worcester State University,Worcester,MA,68.0%,11.0%,8.0%,3.0%,4.0%,4.0%,,,
Merrimack College,North Andover,MA,76.0%,6.0%,3.0%,2.0%,1.0%,8.0%,3.0%,,
Middlebury College,Middlebury,VT,64.0%,9.0%,3.0%,5.0%,7.0%,1.0%,9.0%,,
Mount Holyoke College,South Hadley,MA,45.0%,8.0%,5.0%,3.0%,11.0%,,27.0%,,
Southern Maine Community College,South Portland,ME,80.0%,4.0%,7.0%,2.0%,2.0%,3.0%,,,
Manchester Community College,Manchester,CT,53.0%,19.0%,16.0%,2.0%,5.0%,6.0%,,,
Mount Wachusett Community College,Gardner,MA,69.0%,16.0%,8.0%,3.0%,3.0%,2.0%,,,
Anthem College: Minneapolis,Saint Louis Park,MN,52.0%,2.0%,21.0%,4.0%,13.0%,,6.0%,2.0%,
Pace University: Pleasantville/Briarcliff,Pleasantville,NY,56.0%,17.0%,13.0%,3.0%,6.0%,3.0%,1.0%,,
DeVry University: Sherman Oaks,Sherman Oaks,CA,33.0%,39.0%,11.0%,,16.0%,,,,
Norwalk Community College,Norwalk,CT,33.0%,37.0%,17.0%,1.0%,5.0%,5.0%,2.0%,,
River Valley Community College,Claremont,NH,88.0%,2.0%,,1.0%,1.0%,6.0%,,,
Plymouth State University,Plymouth,NH,83.0%,1.0%,2.0%,2.0%,2.0%,8.0%,2.0%,,
University of Southern Maine,Portland,ME,81.0%,3.0%,5.0%,3.0%,2.0%,4.0%,1.0%,,
Providence College,Providence,RI,77.0%,9.0%,4.0%,2.0%,1.0%,5.0%,2.0%,,
Naugatuck Valley Community College,Waterbury,CT,50.0%,29.0%,11.0%,2.0%,3.0%,4.0%,,,
Three Rivers Community College,Norwich,CT,61.0%,17.0%,9.0%,4.0%,4.0%,3.0%,,,
Cincinnati College of Mortuary Science,Cincinnati,OH,92.0%,,8.0%,,,,,,
Northwest Technical College,Bemidji,MN,77.0%,2.0%,2.0%,7.0%,,2.0%,,8.0%,
Newbury College,Brookline,MA,37.0%,15.0%,38.0%,,6.0%,,3.0%,,
Nashua Community College,Nashua,NH,77.0%,10.0%,,6.0%,2.0%,4.0%,,,
NHTI-Concord's Community College,Concord,NH,77.0%,3.0%,2.0%,2.0%,2.0%,14.0%,,,
Paier College of Art,Hamden,CT,65.0%,18.0%,5.0%,3.0%,2.0%,6.0%,,,
City University of New York: Medgar Evers College,Brooklyn,NY,1.0%,13.0%,62.0%,,2.0%,20.0%,,,
Monroe College,Bronx,NY,3.0%,41.0%,44.0%,,1.0%,2.0%,8.0%,,
Delaware Valley University,Doylestown,PA,75.0%,8.0%,8.0%,,1.0%,6.0%,,,
Nazareth College,Rochester,NY,78.0%,5.0%,7.0%,2.0%,3.0%,4.0%,2.0%,,
"Rutgers, The State University of New Jersey: Newark Campus",Newark,NJ,24.0%,28.0%,19.0%,3.0%,20.0%,2.0%,5.0%,,
New Jersey Institute of Technology,Newark,NJ,34.0%,21.0%,8.0%,3.0%,22.0%,6.0%,5.0%,,
Rowan University,Glassboro,NJ,67.0%,10.0%,10.0%,3.0%,5.0%,4.0%,,,
New Jersey City University,Jersey City,NJ,27.0%,35.0%,21.0%,2.0%,7.0%,6.0%,,,
Kean University,Union,NJ,35.0%,27.0%,19.0%,2.0%,5.0%,8.0%,2.0%,,
William Paterson University of New Jersey,Wayne,NJ,41.0%,29.0%,17.0%,3.0%,7.0%,2.0%,,,
The College of New Jersey,Ewing,NJ,66.0%,13.0%,6.0%,,11.0%,3.0%,,,
Montclair State University,Montclair,NJ,43.0%,27.0%,12.0%,3.0%,6.0%,9.0%,1.0%,,
Eugene Lang College The New School for Liberal Arts,New York,NY,49.0%,17.0%,8.0%,6.0%,6.0%,7.0%,8.0%,,
Cochise College,Douglas,AZ,38.0%,48.0%,5.0%,3.0%,2.0%,2.0%,1.0%,,
California State University: Dominguez Hills,Carson,CA,7.0%,60.0%,13.0%,3.0%,10.0%,3.0%,4.0%,,
California State University: San Bernardino,San Bernardino,CA,13.0%,63.0%,6.0%,3.0%,6.0%,4.0%,7.0%,,
Cypress College,Cypress,CA,18.0%,48.0%,5.0%,,26.0%,1.0%,,,
Chaminade University of Honolulu,Honolulu,HI,13.0%,5.0%,3.0%,13.0%,39.0%,4.0%,1.0%,,21.0%
Southern Union State Community College,Wadley,AL,67.0%,2.0%,25.0%,,1.0%,4.0%,,,
Kent State University: Trumbull,Warren,OH,83.0%,2.0%,8.0%,2.0%,,3.0%,,,
Kirtland Community College,Roscommon,MI,93.0%,2.0%,,1.0%,,1.0%,,,
Kentucky Mountain Bible College,Jackson,KY,91.0%,,3.0%,,,,6.0%,,
Kettering College,Kettering,OH,86.0%,3.0%,4.0%,2.0%,3.0%,,,,
Mississippi Gulf Coast Community College: Perkinston,Perkinston,MS,73.0%,2.0%,22.0%,,2.0%,,,,
University of Pikeville,Pikeville,KY,85.0%,2.0%,10.0%,,,,2.0%,,
St. Clair County Community College,Port Huron,MI,87.0%,3.0%,3.0%,1.0%,,4.0%,,,
Principia College,Elsah,IL,74.0%,4.0%,2.0%,1.0%,2.0%,,17.0%,,
Purdue University,West Lafayette,IN,63.0%,5.0%,3.0%,2.0%,7.0%,3.0%,17.0%,,
Indiana University-Purdue University Fort Wayne,Fort Wayne,IN,82.0%,5.0%,5.0%,3.0%,3.0%,,2.0%,,
Purdue University Calumet,Hammond,IN,50.0%,17.0%,11.0%,2.0%,2.0%,10.0%,7.0%,,
Purdue University North Central,Westville,IN,82.0%,8.0%,5.0%,2.0%,,,,,
Owens Community College,Toledo,OH,70.0%,8.0%,14.0%,3.0%,1.0%,2.0%,1.0%,,
Rio Hondo College,Whittier,CA,4.0%,87.0%,1.0%,,5.0%,2.0%,,,
Colorado Northwestern Community College,Rangely,CO,77.0%,6.0%,2.0%,8.0%,,5.0%,1.0%,,
