University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
City University of New York: Queensborough Community College,Bayside,NY,13.0%,33.0%,23.0%,1.0%,23.0%,,5.0%,,
Wesleyan University,Middletown,CT,55.0%,10.0%,7.0%,5.0%,7.0%,5.0%,10.0%,,
Big Bend Community College,Moses Lake,WA,55.0%,35.0%,1.0%,4.0%,2.0%,3.0%,,,
Daniel Webster College,Nashua,NH,68.0%,7.0%,10.0%,5.0%,4.0%,6.0%,,,
SUNY College of Technology at Alfred,Alfred,NY,73.0%,8.0%,12.0%,2.0%,1.0%,,1.0%,,
Northeast Iowa Community College,Calmar,IA,88.0%,2.0%,4.0%,1.0%,,3.0%,,,
AIB College of Business,Des Moines,IA,63.0%,6.0%,5.0%,2.0%,2.0%,18.0%,3.0%,,
Austin Community College,Austin,TX,45.0%,36.0%,7.0%,4.0%,5.0%,,2.0%,,
West Virginia Northern Community College,Wheeling,WV,91.0%,,3.0%,2.0%,,2.0%,,,
Wor-Wic Community College,Salisbury,MD,60.0%,5.0%,27.0%,4.0%,2.0%,1.0%,,,
Texas A&M International University,Laredo,TX,2.0%,95.0%,,,,,2.0%,,
Tulsa Community College,Tulsa,OK,56.0%,8.0%,9.0%,10.0%,4.0%,4.0%,3.0%,7.0%,
Texas State Technical College: Harlingen,Harlingen,TX,6.0%,89.0%,,,,3.0%,,,
Texas A&M University-Corpus Christi,Corpus Christi,TX,36.0%,49.0%,7.0%,1.0%,3.0%,2.0%,2.0%,,
University of Texas at Tyler,Tyler,TX,58.0%,16.0%,9.0%,8.0%,3.0%,3.0%,2.0%,,
Union College,Lincoln,NE,52.0%,21.0%,7.0%,5.0%,4.0%,,9.0%,,1.0%
University of Arkansas,Fayetteville,AR,77.0%,8.0%,5.0%,3.0%,2.0%,,3.0%,1.0%,
University of Dallas,Irving,TX,63.0%,22.0%,2.0%,3.0%,6.0%,1.0%,3.0%,,
University of Dubuque,Dubuque,IA,63.0%,9.0%,14.0%,3.0%,2.0%,6.0%,3.0%,,
University of Houston,Houston,TX,25.0%,33.0%,10.0%,3.0%,22.0%,1.0%,4.0%,,
University of Kansas,Lawrence,KS,71.0%,8.0%,4.0%,5.0%,5.0%,,6.0%,,
University of Missouri: St. Louis,St. Louis,MO,63.0%,3.0%,18.0%,3.0%,5.0%,4.0%,3.0%,,
University of Minnesota: Morris,Morris,MN,60.0%,5.0%,2.0%,12.0%,3.0%,,11.0%,6.0%,
University of Minnesota: Crookston,Crookston,MN,77.0%,4.0%,6.0%,2.0%,3.0%,2.0%,5.0%,,
University of Kansas Medical Center,Kansas City,KS,78.0%,5.0%,3.0%,3.0%,5.0%,4.0%,2.0%,,
Morningside College,Sioux City,IA,79.0%,7.0%,2.0%,3.0%,1.0%,3.0%,5.0%,,
Mount Marty College,Yankton,SD,81.0%,7.0%,5.0%,1.0%,,,,3.0%,
Mount Mercy University,Cedar Rapids,IA,79.0%,2.0%,7.0%,2.0%,2.0%,3.0%,4.0%,1.0%,
University of Nebraska - Omaha,Omaha,NE,69.0%,11.0%,6.0%,4.0%,3.0%,2.0%,4.0%,,
Navarro College,Corsicana,TX,56.0%,21.0%,17.0%,1.0%,1.0%,,1.0%,,
Chadron State College,Chadron,NE,75.0%,8.0%,5.0%,3.0%,,5.0%,3.0%,1.0%,
University of Nebraska - Kearney,Kearney,NE,79.0%,11.0%,2.0%,2.0%,,,5.0%,,
Peru State College,Peru,NE,77.0%,7.0%,10.0%,1.0%,1.0%,1.0%,,1.0%,
Wayne State College,Wayne,NE,82.0%,8.0%,3.0%,2.0%,,2.0%,,,
Nebraska Wesleyan University,Lincoln,NE,83.0%,7.0%,3.0%,3.0%,2.0%,2.0%,1.0%,,
Northeast Community College,Norfolk,NE,81.0%,10.0%,2.0%,1.0%,,2.0%,2.0%,,
North Dakota State University,Fargo,ND,86.0%,2.0%,3.0%,3.0%,1.0%,1.0%,2.0%,,
North Dakota State College of Science,Wahpeton,ND,81.0%,2.0%,9.0%,3.0%,,2.0%,2.0%,,
Dickinson State University,Dickinson,ND,79.0%,4.0%,4.0%,3.0%,,3.0%,5.0%,,
Mid-Plains Community College,North Platte,NE,79.0%,10.0%,4.0%,2.0%,,1.0%,2.0%,,
Northland Community & Technical College,Thief River Falls,MN,85.0%,3.0%,5.0%,,2.0%,,,4.0%,
Normandale Community College,Bloomington,MN,65.0%,5.0%,17.0%,,10.0%,1.0%,,,
Nebraska Christian College,Papillion,NE,63.0%,2.0%,,2.0%,,32.0%,,,
Lone Star College System,The Woodlands,TX,32.0%,38.0%,15.0%,3.0%,7.0%,4.0%,,,
Nebraska Methodist College of Nursing and Allied Health,Omaha,NE,86.0%,4.0%,4.0%,2.0%,2.0%,2.0%,,,
Eastfield College,Mesquite,TX,21.0%,47.0%,24.0%,,4.0%,4.0%,,,
Texas A&M University-Texarkana,Texarkana,TX,62.0%,12.0%,15.0%,4.0%,1.0%,1.0%,4.0%,,
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,92.0%,1.0%,2.0%,1.0%,,,,1.0%,
Fontbonne University,St. Louis,MO,71.0%,2.0%,14.0%,2.0%,1.0%,1.0%,7.0%,,
DeVry University: Tinley Park,Tinley Park,IL,49.0%,9.0%,40.0%,,2.0%,,,,
Iowa Central Community College,Fort Dodge,IA,68.0%,7.0%,14.0%,1.0%,1.0%,5.0%,2.0%,,
Fort Hays State University,Hays,KS,57.0%,7.0%,4.0%,2.0%,,,29.0%,,
John Brown University,Siloam Springs,AR,75.0%,6.0%,3.0%,3.0%,2.0%,4.0%,6.0%,2.0%,
Missouri Southern State University,Joplin,MO,77.0%,5.0%,6.0%,1.0%,2.0%,3.0%,3.0%,3.0%,
Mineral Area College,Park Hills,MO,90.0%,,3.0%,,,5.0%,,,
Metropolitan Community College - Kansas City,Kansas City,MO,63.0%,9.0%,17.0%,6.0%,3.0%,,,,
