University,services,website
Global University,Chaplain/spiritual director,www.globaluniversity.edu 
Delta College of Arts & Technology,,www.deltacollege.com 
Clovis Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services,https://www.clovis.edu 
Solano Community College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling,www.solano.edu 
Ventura College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services,www.venturacollege.edu 
Victor Valley College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.vvc.edu 
Walla Walla University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; On-campus daycare,www.wallawalla.edu 
Weber State University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,https://www.weber.edu 
Pacific States University,Personal counseling; Employment services for undergraduates; Financial aid counseling,www.psuca.edu 
MTI College,Career counseling; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.mticollege.edu 
American National University: Martinsville,Career counseling; Employment services for undergraduates; Personal counseling,www.an.edu 
St. John's University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Financial aid counseling; Minority students services; Economically disadvantaged students services,www.stjohns.edu 
Southern Crescent Technical College,Career counseling; Economically disadvantaged students services; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.sctech.edu 
West Georgia Technical College,Career counseling; Financial aid counseling; On-campus daycare; Placement services for graduates; Veteran's counselor; Employment services for undergraduates; Adult (re-entering) student services/programs; Women's services,www.westgatech.edu 
The College of Saints John Fisher & Thomas More,Chaplain/spiritual director; Career counseling; Financial aid counseling; Personal counseling; Health services,www.fishermore.edu 
Longwood University,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Minority students services; Alcohol/substance abuse counseling; Women's services,www.longwood.edu 
DeVry University: Alpharetta,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.devry.edu 
DeVry University - Long Beach,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,http://www.devry.edu/locations/campuses/loc_longbeachcampus.jsp 
St. Luke's College,Chaplain/spiritual director; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Alcohol/substance abuse counseling; Veteran's counselor,www.stlukescollege.edu 
Allen College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Women's services; Minority students services,www.allencollege.edu 
Passaic County Community College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.pccc.edu 
Sussex County Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.sussex.edu 
Bryant & Stratton College: Syracuse,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Financial aid counseling,www.bryantstratton.edu 
Triangle Tech: Greensburg,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling,www.triangle-tech.edu 
Maranatha Baptist University,Career counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Chaplain/spiritual director; Financial aid counseling,www.mbu.edu 
Rabbinical Seminary Adas Yereim,,
Lincoln Technical Institute: Allentown,,www.lincolntech.com 
Reading Area Community College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Economically disadvantaged students services,www.racc.edu 
Rabbinical College Beth Shraga,,
Rabbinical College of Long Island,,
Thomas Edison State University,Adult (re-entering) student services/programs; Veteran's counselor; Financial aid counseling,www.tesu.edu 
City University of New York: Queens College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Financial aid counseling; Minority students services; Women's services; Economically disadvantaged students services; Personal counseling,www.qc.cuny.edu 
Talmudical Seminary Oholei Torah,Career counseling; Personal counseling,www.tsot.edu 
Rabbinical Seminary of America,,
City University of New York: College of Staten Island,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Chaplain/spiritual director; Economically disadvantaged students services; Minority students services; Women's services,www.csi.cuny.edu 
Klamath Community College,Financial aid counseling; Personal counseling; Employment services for undergraduates; Alcohol/substance abuse counseling; Career counseling; Veteran's counselor,www.klamathcc.edu 
Middle Tennessee School of Anesthesia,,
Rabbinical College Ch'san Sofer of New York,,
"Rutgers, The State University of New Jersey: New Brunswick Graduate Campus",,www.rutgers.edu 
Saint Bonaventure University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling; Minority students services,www.sbu.edu 
St. Charles Borromeo Seminary - Overbrook,Chaplain/spiritual director; Financial aid counseling; Health services; Personal counseling,www.scs.edu 
St. Francis College,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Chaplain/spiritual director; Economically disadvantaged students services; Financial aid counseling,www.sfc.edu 
University of Maine at Machias,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling; On-campus daycare,www.umm.maine.edu 
Wellesley College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Financial aid counseling; Women's services,www.wellesley.edu 
Wentworth Institute of Technology,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Women's services; Veteran's counselor,www.wit.edu 
Arizona State University,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Legal services; Minority students services; Financial aid counseling,www.asu.edu 
Art Center College of Design,,www.artcenter.edu 
National College: Lexington,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor,www.national-college.edu 
Ohio State University Agricultural Technical Institute,Personal counseling; Economically disadvantaged students services; Adult (re-entering) student services/programs; Financial aid counseling; Employment services for undergraduates; Minority students services; Placement services for graduates; Women's services; Career counseling,www.ati.osu.edu 
Talmudical Yeshiva of Philadelphia,Career counseling; Health services; Personal counseling; Placement services for graduates,
Sanford-Brown Institute: Melville,Career counseling; Personal counseling; Placement services for graduates,www.sbmelville.edu 
Northeast Wisconsin Technical College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Financial aid counseling; Economically disadvantaged students services,www.nwtc.edu 
Alaska Pacific University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Minority students services; Personal counseling; Financial aid counseling,www.alaskapacific.edu 
Aims Community College,Career counseling; Veteran's counselor; Alcohol/substance abuse counseling; Minority students services; Adult (re-entering) student services/programs; Economically disadvantaged students services; Financial aid counseling; Personal counseling,www.aims.edu 
Alaska Bible College,Chaplain/spiritual director; Financial aid counseling; Personal counseling; Health services,www.akbible.edu 
DeVry University: Pomona,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.devry.edu 
Butte College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Financial aid counseling; Minority students services; Women's services,www.butte.edu 
Brooks Institute,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Financial aid counseling,www.brooks.edu 
Art Institute of Portland,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling,
Brooks College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.brookscollege.edu 
East Los Angeles College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Alcohol/substance abuse counseling; Economically disadvantaged students services; Financial aid counseling; Minority students services; Placement services for graduates; Veteran's counselor; Women's services,www.elac.edu 
Cossatot Community College of the University of Arkansas,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Minority students services; On-campus daycare; Veteran's counselor,www.cccua.edu 
College of the Ouachitas,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.coto.edu 
Skyline College: Roanoke,Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor; Adult (re-entering) student services/programs; Career counseling,www.skyline.edu 
DeVry University: Colorado Springs,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.cs.devry.edu 
Platt College: Huntington Beach,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.plattcollege.edu 
Orleans Technical Institute,Career counseling; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.orleanstech.edu 
Nossi College of Art,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.nossi.edu 
Le Cordon Bleu College of Culinary Arts: Chicago,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.chefs.edu/Chicago 
Chabot College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Economically disadvantaged students services; Minority students services; Veteran's counselor; Health services,www.chabotcollege.edu 
Southwestern College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Veteran's counselor; Women's services; Legal services,www.swccd.edu 
Snow College,Career counseling; Financial aid counseling; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Health services; Employment services for undergraduates,www.snow.edu 
San Diego Miramar College,Career counseling; Economically disadvantaged students services; On-campus daycare; Personal counseling; Veteran's counselor; Health services,www.sdmiramar.edu 
Southwestern Oregon Community College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Financial aid counseling; Health services; Adult (re-entering) student services/programs,www.socc.edu 
San Juan College,Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services,www.sanjuancollege.edu 
South Mountain Community College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Veteran's counselor,www.southmountaincc.edu 
San Diego Mesa College,Career counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling,www.sdmesa.edu 
Arizona Christian University,Employment services for undergraduates; Financial aid counseling; Personal counseling; Veteran's counselor; Chaplain/spiritual director; Adult (re-entering) student services/programs,www.arizonachristian.edu 
St. John's College,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Alcohol/substance abuse counseling; Women's services,www.sjc.edu 
Shoreline Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Health services,www.shoreline.edu 
Spokane Community College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.scc.spokane.edu 
Seattle Central College,Career counseling; Employment services for undergraduates; Personal counseling; Veteran's counselor; Financial aid counseling; Minority students services; Women's services; Economically disadvantaged students services,www.seattlecentral.edu 
Sheldon Jackson College,Chaplain/spiritual director; Health services; On-campus daycare; Personal counseling; Veteran's counselor,www.sj-alaska.edu 
Imperial Valley College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; On-campus daycare; Personal counseling; Veteran's counselor; Alcohol/substance abuse counseling; Health services; Adult (re-entering) student services/programs,www.imperial.edu 
Community College of Philadelphia,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.ccp.edu 
Brigham Young University-Hawaii,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services,www.byuh.edu 
Columbia College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.gocolumbia.edu 
Canada College,Career counseling; Health services; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Employment services for undergraduates; Economically disadvantaged students services; Financial aid counseling; Legal services; Minority students services,www.canadacollege.edu 
California State University: Bakersfield,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.csub.edu 
Clackamas Community College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.clackamas.edu 
ITT Technical Institute: Webster,Career counseling; Employment services for undergraduates; Placement services for graduates,www.itt-tech.edu 
College of Southern Nevada,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Financial aid counseling; Adult (re-entering) student services/programs,www.csn.edu 
Community College of Denver,Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services,www.ccd.edu 
Colorado Mountain College Steamboat Springs,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.coloradomtn.edu 
California School of Professional Psychology at San Diego,,www.cspp.edu 
California School of Professional Psychology at Los Angeles,,
Claremont Graduate University,,www.cgu.edu 
California School of Professional Psychology at Fresno,,www.cspp.edu 
Gettysburg College,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Chaplain/spiritual director; Financial aid counseling; Minority students services; Women's services,www.gettysburg.edu 
Grove City College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Minority students services,www.gcc.edu 
Gwynedd Mercy University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Adult (re-entering) student services/programs,www.gmercyu.edu 
Penn State Greater Allegheny,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,
Eastern Mennonite Seminary,,
Gratz College,Career counseling; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.gratz.edu 
Rowan College at Gloucester,Career counseling; Economically disadvantaged students services; Financial aid counseling; Health services; Veteran's counselor; Personal counseling,www.rcgc.edu 
Penn State Lehigh Valley,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.lv.psu.edu 
Holy Family University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Alcohol/substance abuse counseling; Minority students services,www.holyfamily.edu 
Holy Trinity Orthodox Seminary,Chaplain/spiritual director,www.hts.edu 
Houghton College,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Chaplain/spiritual director; Alcohol/substance abuse counseling; Women's services,www.houghton.edu 
Hudson Valley Community College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.hvcc.edu 
City University of New York: Hunter College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.hunter.cuny.edu/main/ 
City University of New York: Hostos Community College,Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Alcohol/substance abuse counseling,www.hostos.cuny.edu 
Hallmark University,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Alcohol/substance abuse counseling; Legal services; Minority students services; Health services; Chaplain/spiritual director,www.hallmarkuniversity.edu 
Carteret Community College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Minority students services,www.carteret.edu 
Johnson University: Florida,Career counseling; Financial aid counseling; Personal counseling; Veteran's counselor,www.johnsonu.edu/florida 
Cape Fear Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling,www.cfcc.edu 
Northeastern Technical College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor,www.netc.edu 
South University: Columbia,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor; Adult (re-entering) student services/programs,www.southuniversity.edu 
Catawba Valley Community College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling; Women's services; Minority students services,www.cvcc.edu 
Campbell University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.campbell.edu 
Capitol Technology University,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.capitol-college.edu 
Concord University,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling,www.concord.edu 
Converse College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services,www.converse.edu 
Coppin State University,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.coppin.edu 
Columbus State University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.columbusstate.edu 
University of Virginia's College at Wise,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Chaplain/spiritual director; Economically disadvantaged students services,www.uvawise.edu 
Mt. Sierra College,Employment services for undergraduates; Financial aid counseling; Placement services for graduates,www.mtsierra.edu 
Long Island Business Institute,Career counseling; Financial aid counseling; Placement services for graduates; Employment services for undergraduates,www.libi.edu 
Lincoln College of Technology: Indianapolis,,
Jefferson College of Health Sciences,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor,www.jchs.edu 
University of Wisconsin-Superior,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services; Placement services for graduates,www.uwsuper.edu 
Florida Institute of Technology,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Veteran's counselor; Chaplain/spiritual director,www.fit.edu 
Blue Ridge Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; Placement services for graduates; Veteran's counselor; Women's services; Economically disadvantaged students services; Adult (re-entering) student services/programs,www.brcc.edu 
Baltimore Hebrew University,Career counseling; Financial aid counseling; Veteran's counselor,www.bhu.edu 
Beaufort County Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor; Economically disadvantaged students services,www.beaufortccc.edu 
Cleveland Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.clevelandcc.edu 
Cecil College,Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Legal services,www.my.cecil.edu 
University of North Alabama,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Minority students services; Women's services; Economically disadvantaged students services,www.una.edu 
University of Detroit Mercy,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.udmercy.edu 
University of Illinois at Urbana-Champaign,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Alcohol/substance abuse counseling,
University of Kentucky,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Financial aid counseling; Minority students services; Women's services,www.uky.edu 
University of Louisville,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; Personal counseling; Placement services for graduates; On-campus daycare; Alcohol/substance abuse counseling; Women's services,www.louisville.edu 
University of Michigan,Veteran's counselor; Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Chaplain/spiritual director; Placement services for graduates; Women's services,
University of Mississippi,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.olemiss.edu 
University of Notre Dame,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services,www.nd.edu 
Sewanee: The University of the South,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Alcohol/substance abuse counseling; Financial aid counseling; Women's services; Chaplain/spiritual director; Minority students services,www.sewanee.edu 
University of Tennessee: Knoxville,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Adult (re-entering) student services/programs,www.utk.edu 
University of Tennessee: Martin,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Financial aid counseling; Minority students services; Economically disadvantaged students services; Women's services,www.utm.edu 
University of Toledo,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.utoledo.edu 
University of Toledo: College of Pharmacy,,
University of Wisconsin-Madison,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Financial aid counseling; Minority students services; Women's services,www.wisc.edu 
Urbana University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.urbana.edu 
University of Mississippi Medical Center,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Financial aid counseling; Health services; Minority students services; Personal counseling,www.umc.edu 
University of South Alabama,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.southalabama.edu 
Volunteer State Community College,Career counseling; Financial aid counseling; Health services; Personal counseling; Veteran's counselor; Placement services for graduates; Economically disadvantaged students services; Minority students services; Employment services for undergraduates; Adult (re-entering) student services/programs,www.volstate.edu 
Terra State Community College,Career counseling; Employment services for undergraduates; Placement services for graduates; Veteran's counselor; Personal counseling,www.terra.edu 
Baker College of Jackson,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling; Adult (re-entering) student services/programs,www.baker.edu 
University of Wisconsin-Fox Valley,Career counseling; On-campus daycare; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services; Alcohol/substance abuse counseling; Financial aid counseling; Minority students services; Personal counseling,www.uwfox.uwc.edu 
University of Wisconsin-Manitowoc,Career counseling; Financial aid counseling; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor,www.manitowoc.uwc.edu 
