University,services,website
Boston University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Alcohol/substance abuse counseling,www.bu.edu 
Beth Hatalmud Rabbinical College,,
Harvard University,,www.harvard.edu 
ITT Technical Institute: Liverpool,Career counseling; Employment services for undergraduates; Placement services for graduates,www.itt-tech.edu 
Los Angeles Valley College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.lavc.edu 
New Charter University,Adult (re-entering) student services/programs; Veteran's counselor,www.new.edu 
California National University for Advanced Studies,,www.cnuas.edu 
Monroe Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.monroecc.edu 
Cuyahoga Community College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.tri-c.edu 
Athens State University,Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; Placement services for graduates; Veteran's counselor,www.athens.edu 
Kaplan University: Cedar Falls,Personal counseling; Placement services for graduates; Employment services for undergraduates; Financial aid counseling,www.kaplanuniversity.edu/cedar-falls-iowa.aspx 
Arizona State University: College of Law,,
Jesuit School of Theology at Berkeley: Professional,,
Life College,,
Community College of the Air Force,Alcohol/substance abuse counseling; Career counseling; Financial aid counseling; Health services; Legal services; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Chaplain/spiritual director,www.au.af.mil/au/barnes/ccaf/ 
Johnson College,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor; Economically disadvantaged students services,www.johnson.edu 
Carl Albert State College,Chaplain/spiritual director; Career counseling; Financial aid counseling; On-campus daycare; Veteran's counselor; Economically disadvantaged students services,www.carlalbert.edu 
Hamilton Technical College,Career counseling; Placement services for graduates; Employment services for undergraduates; Financial aid counseling,www.hamiltontechcollege.edu 
Tabor College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; Placement services for graduates; Personal counseling,www.tabor.edu 
College of the Ozarks,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Chaplain/spiritual director; Financial aid counseling,www.cofo.edu 
Maryville University of Saint Louis,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.maryville.edu 
Webster University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Women's services; Veteran's counselor,www.webster.edu 
College of Saint Mary,Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Women's services; On-campus daycare,www.csm.edu 
Covenant Theological Seminary,,
The Workforce Institute's City College,Career counseling; Employment services for undergraduates; Placement services for graduates; Financial aid counseling; Adult (re-entering) student services/programs,http://www.citycollege-careers.org/ 
TESST College of Technology: Alexandria,,
University of Arkansas: Community College at Morrilton,Career counseling; Financial aid counseling; On-campus daycare; Placement services for graduates; Veteran's counselor; Personal counseling; Alcohol/substance abuse counseling; Employment services for undergraduates,www.uaccm.edu 
Coconino County Community College,Career counseling; Financial aid counseling; On-campus daycare; Adult (re-entering) student services/programs; Veteran's counselor,www.coconino.edu 
Williams Baptist College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Financial aid counseling; Health services; Personal counseling; Veteran's counselor,www.wbcoll.edu 
San Jacinto College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Alcohol/substance abuse counseling; Financial aid counseling; On-campus daycare; Veteran's counselor; Adult (re-entering) student services/programs,www.sanjac.edu 
Aaniiih Nakoda College,Career counseling; Financial aid counseling,www.ancollege.edu 
University of Missouri: Kansas City,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Alcohol/substance abuse counseling; Adult (re-entering) student services/programs,www.umkc.edu 
Muscatine Community College,Career counseling; Employment services for undergraduates; On-campus daycare; Placement services for graduates; Adult (re-entering) student services/programs; Financial aid counseling,www.eicc.edu 
Mayville State University,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Minority students services,www.mayvillestate.edu 
Northwest Technical Institute,Career counseling; Placement services for graduates; Employment services for undergraduates,www.nti.edu 
Iowa Western Community College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Placement services for graduates; Veteran's counselor; Personal counseling,www.iwcc.edu 
Emporia State University,Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling,www.emporia.edu 
Southern Nazarene University,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Alcohol/substance abuse counseling; Chaplain/spiritual director; Economically disadvantaged students services; Financial aid counseling,www.snu.edu 
Trinity Valley Community College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor,www.tvcc.edu 
Beth Benjamin Academy of Connecticut,,
Vennard College,Personal counseling; Financial aid counseling,www.vennard.edu 
South University: Savannah,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.southuniversity.edu 
Salvation Army College for Officer Training at Crestmont,Alcohol/substance abuse counseling; Economically disadvantaged students services; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Career counseling; Chaplain/spiritual director,www.crestmont.edu 
Santiago Canyon College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.sccollege.edu 
ECPI University,,
Divine Word College,Career counseling; Health services; Personal counseling,www.dwci.edu 
Virginia Polytechnic Institute and State University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Chaplain/spiritual director,www.vt.edu 
John Tyler Community College,Career counseling; Financial aid counseling; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling,www.jtcc.edu 
University of Texas at Arlington,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.uta.edu 
Sampson Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.sampsoncc.edu 
Trinity Washington University,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services; Women's services; Alcohol/substance abuse counseling; Chaplain/spiritual director; Financial aid counseling,www.trinitydc.edu 
Middle Georgia State University - Macon,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Veteran's counselor; Financial aid counseling; Minority students services,http://www.mga.edu/ 
Ohio Valley University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Minority students services; Adult (re-entering) student services/programs; Alcohol/substance abuse counseling,www.ovu.edu 
Gallaudet University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Financial aid counseling,www.gallaudet.edu 
Greensboro College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.greensboro.edu 
Hodges University,Placement services for graduates; Career counseling; Financial aid counseling; Personal counseling,www.hodges.edu 
Pima Community College,Career counseling; Personal counseling; Veteran's counselor; Health services; Minority students services; Alcohol/substance abuse counseling; Economically disadvantaged students services; Women's services; Financial aid counseling,www.pima.edu 
San Jose City College,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Veteran's counselor; Financial aid counseling; Economically disadvantaged students services; Minority students services,www.sjcc.edu 
Trident Technical College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Financial aid counseling; Adult (re-entering) student services/programs,www.tridenttech.edu 
Heald College: Roseville,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.heald.edu 
Arizona State University West,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Veteran's counselor; Women's services,www.west.asu.edu 
Hebrew Theological College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling,www.htc.edu 
Davis and Elkins College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling; Women's services,www.dewv.edu 
University of Idaho,Career counseling; Employment services for undergraduates; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services; Financial aid counseling,www.uidaho.edu 
Stetson University,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Financial aid counseling; Minority students services; Alcohol/substance abuse counseling; Chaplain/spiritual director; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.stetson.edu 
Louisburg College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling,www.louisburg.edu 
