School ID,University,State,City,Enrollment (Undergrad),Male Enrollment,Female Enrollment,Native Hawaiian/Pacific Islander,American Indian/Alaskan Native,Multi-race (not Hispanic/Latino),Asian,White,Black/African-American,International,Hispanic/Latino,Unknown
000055,Siena College,NY,Loudonville,3122,1524,1598,0.0,0.1,2.3,4.6,81.1,3.7,1.7,7.1,1.0
000056,Simmons College,MA,Boston,1741,8,1733,0.1,0.1,3.9,9.3,69.1,7.0,3.3,6.5,4.0
000057,Skidmore College,NY,Saratoga Springs,2634,1027,1607,0.0,0.0,4.6,6.2,70.6,4.4,9.8,9.3,5.0
000058,Parsons The New School for Design,NY,New York,4253,937,3316,0.2,0.1,4.5,22.4,44.0,8.2,43.5,16.2,4.5
000059,Penn State University Park,PA,University Park,40742,21899,18843,0.1,0.1,2.9,6.9,76.8,4.7,10.5,6.7,1.9
000060,Slippery Rock University of Pennsylvania,PA,Slippery Rock,7583,3252,4331,0.1,0.2,3.3,0.8,86.6,5.2,1.4,2.4,1.5
000061,Smith College,MA,Northampton,2478,1,2477,0.1,0.2,5.5,13.6,52.3,6.3,14.0,12.1,9.9
000062,"Penn State Erie, The Behrend College",PA,Erie,4175,2711,1464,0.1,0.1,1.9,3.6,86.1,4.1,8.5,2.7,1.3
000063,University of Massachusetts Dartmouth,MA,North Dartmouth,7295,3776,3519,0.0,0.2,3.5,3.9,64.7,14.2,1.3,8.6,4.9
000064,Southern Connecticut State University,CT,New Haven,8106,3157,4949,0.0,0.4,2.2,3.2,55.6,17.5,0.5,12.7,8.5
000065,Penn State Harrisburg,PA,Middletown,3866,2362,1504,0.2,0.2,3.1,10.1,65.5,11.8,9.8,6.9,2.2
000066,University of Southern Maine,ME,Portland,6126,2710,3416,0.1,0.8,2.7,2.1,75.8,3.4,0.9,2.1,13.2
000067,University of Pennsylvania,PA,Philadelphia,9726,4858,4868,0.0,0.1,4.7,22.8,49.5,8.0,11.6,11.6,3.3
000068,Southern Vermont College,VT,Bennington,475,185,290,0.2,0.9,0.9,0.7,51.2,11.2,0.6,9.1,25.7
000069,Springfield College,MA,Springfield,2160,1069,1091,0.1,0.3,1.7,1.0,83.6,5.4,2.5,6.3,1.5
000070,Rhode Island School of Design,RI,Providence,2014,637,1377,0.0,0.3,6.0,25.6,42.7,3.2,26.5,11.1,11.1
000071,Stevens Institute of Technology,NJ,Hoboken,2976,2101,875,0.0,0.1,0.0,10.9,68.9,1.9,4.2,9.4,8.7
000072,University of Rhode Island,RI,Kingston,13641,6223,7418,0.0,0.2,2.8,3.3,71.2,5.3,2.1,9.6,7.4
